Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,Q98069
ID Dispositivo:,,Station01
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
7/31/2021,6:45:00 PM,5143
7/31/2021,7:00:00 PM,5198
7/31/2021,7:15:00 PM,5188
7/31/2021,7:30:00 PM,5193
7/31/2021,7:45:00 PM,5208
7/31/2021,8:00:00 PM,5233
7/31/2021,8:15:00 PM,5293
7/31/2021,8:30:00 PM,5338
7/31/2021,8:45:00 PM,5313
7/31/2021,9:00:00 PM,5298
7/31/2021,9:15:00 PM,5349
7/31/2021,9:30:00 PM,5349
7/31/2021,9:45:00 PM,5354
7/31/2021,10:00:00 PM,5404
7/31/2021,10:15:00 PM,5394
7/31/2021,10:30:00 PM,5464
7/31/2021,10:45:00 PM,5449
7/31/2021,11:00:00 PM,5469
7/31/2021,11:15:00 PM,5509
7/31/2021,11:30:00 PM,5509
7/31/2021,11:45:00 PM,5494
8/1/2021,12:00:00 AM,5494
8/1/2021,12:15:00 AM,5489
8/1/2021,12:30:00 AM,5509
8/1/2021,12:45:00 AM,5534
8/1/2021,1:00:00 AM,5554
8/1/2021,1:15:00 AM,5564
8/1/2021,1:30:00 AM,5544
8/1/2021,1:45:00 AM,5534
8/1/2021,2:00:00 AM,5594
8/1/2021,2:15:00 AM,5589
8/1/2021,2:30:00 AM,5614
8/1/2021,2:45:00 AM,5604
8/1/2021,3:00:00 AM,5604
8/1/2021,3:15:00 AM,5609
8/1/2021,3:30:00 AM,5609
8/1/2021,3:45:00 AM,5624
8/1/2021,4:00:00 AM,5604
8/1/2021,4:15:00 AM,5614
8/1/2021,4:30:00 AM,5649
8/1/2021,4:45:00 AM,5624
8/1/2021,5:00:00 AM,5614
8/1/2021,5:15:00 AM,5649
8/1/2021,5:30:00 AM,5639
8/1/2021,5:45:00 AM,5679
8/1/2021,6:00:00 AM,5659
8/1/2021,6:15:00 AM,5664
8/1/2021,6:30:00 AM,5689
8/1/2021,6:45:00 AM,5684
8/1/2021,7:00:00 AM,5689
8/1/2021,7:15:00 AM,5699
8/1/2021,7:30:00 AM,5674
8/1/2021,7:45:00 AM,5649
8/1/2021,8:00:00 AM,5644
8/1/2021,8:15:00 AM,5614
8/1/2021,8:30:00 AM,5674
8/1/2021,8:45:00 AM,5644
8/1/2021,9:00:00 AM,5654
8/1/2021,9:15:00 AM,5624
8/1/2021,9:30:00 AM,5599
8/1/2021,9:45:00 AM,5594
8/1/2021,10:00:00 AM,5539
8/1/2021,10:15:00 AM,5539
8/1/2021,10:30:00 AM,5559
8/1/2021,10:45:00 AM,5564
8/1/2021,11:00:00 AM,5594
8/1/2021,11:15:00 AM,5639
8/1/2021,11:30:00 AM,5579
8/1/2021,11:45:00 AM,5599
8/1/2021,12:00:00 PM,5604
8/1/2021,12:15:00 PM,5574
8/1/2021,12:30:00 PM,5554
8/1/2021,12:45:00 PM,5544
8/1/2021,1:00:00 PM,5524
8/1/2021,1:15:00 PM,5564
8/1/2021,1:30:00 PM,5554
8/1/2021,1:45:00 PM,5534
8/1/2021,2:00:00 PM,5554
8/1/2021,2:15:00 PM,5564
8/1/2021,2:30:00 PM,5594
8/1/2021,2:45:00 PM,5609
8/1/2021,3:00:00 PM,5604
8/1/2021,3:15:00 PM,5579
8/1/2021,3:30:00 PM,5519
8/1/2021,3:45:00 PM,5534
8/1/2021,4:00:00 PM,5514
8/1/2021,4:15:00 PM,5529
8/1/2021,4:30:00 PM,5499
8/1/2021,4:45:00 PM,5404
8/1/2021,5:00:00 PM,5429
8/1/2021,5:15:00 PM,5424
8/1/2021,5:30:00 PM,5374
8/1/2021,5:45:00 PM,5354
8/1/2021,6:00:00 PM,5409
8/1/2021,6:15:00 PM,5404
8/1/2021,6:30:00 PM,5369
8/1/2021,6:45:00 PM,5454
8/1/2021,7:00:00 PM,5469
8/1/2021,7:15:00 PM,5419
8/1/2021,7:30:00 PM,5464
8/1/2021,7:45:00 PM,5489
8/1/2021,8:00:00 PM,5459
8/1/2021,8:15:00 PM,5479
8/1/2021,8:30:00 PM,5384
8/1/2021,8:45:00 PM,5338
8/1/2021,9:00:00 PM,5323
8/1/2021,9:15:00 PM,5283
8/1/2021,9:30:00 PM,5243
8/1/2021,9:45:00 PM,5228
8/1/2021,10:00:00 PM,5158
8/1/2021,10:15:00 PM,5123
8/1/2021,10:30:00 PM,5048
8/1/2021,10:45:00 PM,5013
8/1/2021,11:00:00 PM,4947
8/1/2021,11:15:00 PM,4907
8/1/2021,11:30:00 PM,4867
8/1/2021,11:45:00 PM,4867
8/2/2021,12:00:00 AM,4837
8/2/2021,12:15:00 AM,4792
8/2/2021,12:30:00 AM,4802
8/2/2021,12:45:00 AM,4762
8/2/2021,1:00:00 AM,4757
8/2/2021,1:15:00 AM,4762
8/2/2021,1:30:00 AM,4667
8/2/2021,1:45:00 AM,4592
8/2/2021,2:00:00 AM,4501
8/2/2021,2:15:00 AM,4356
8/2/2021,2:30:00 AM,4216
8/2/2021,2:45:00 AM,4171
8/2/2021,3:00:00 AM,4140
8/2/2021,3:15:00 AM,4030
8/2/2021,3:30:00 AM,3800
8/2/2021,3:45:00 AM,3765
8/2/2021,4:00:00 AM,3749
8/2/2021,4:15:00 AM,3759
8/2/2021,4:30:00 AM,3719
8/2/2021,4:45:00 AM,3629
8/2/2021,5:00:00 AM,3624
8/2/2021,5:15:00 AM,3634
8/2/2021,5:30:00 AM,3644
8/2/2021,5:45:00 AM,3639
8/2/2021,6:00:00 AM,3579
8/2/2021,6:15:00 AM,3569
8/2/2021,6:30:00 AM,3544
8/2/2021,6:45:00 AM,3559
8/2/2021,7:00:00 AM,3529
8/2/2021,7:15:00 AM,3494
8/2/2021,7:30:00 AM,3454
8/2/2021,7:45:00 AM,3419
8/2/2021,8:00:00 AM,3409
8/2/2021,8:15:00 AM,3369
8/2/2021,8:30:00 AM,3318
8/2/2021,8:45:00 AM,3298
8/2/2021,9:00:00 AM,3253
8/2/2021,9:15:00 AM,3213
8/2/2021,9:30:00 AM,3158
8/2/2021,9:45:00 AM,3173
8/2/2021,10:00:00 AM,3118
8/2/2021,10:15:00 AM,3088
8/2/2021,10:30:00 AM,3038
8/2/2021,10:45:00 AM,3003
8/2/2021,11:00:00 AM,2952
8/2/2021,11:15:00 AM,2912
8/2/2021,11:30:00 AM,2882
8/2/2021,11:45:00 AM,2792
8/2/2021,12:00:00 PM,2787
8/2/2021,12:15:00 PM,2757
8/2/2021,12:30:00 PM,2727
8/2/2021,12:45:00 PM,2722
8/2/2021,1:00:00 PM,2697
8/2/2021,1:15:00 PM,2672
8/2/2021,1:30:00 PM,2652
8/2/2021,1:45:00 PM,2652
8/2/2021,2:00:00 PM,2632
8/2/2021,2:15:00 PM,2607
8/2/2021,2:30:00 PM,2577
8/2/2021,2:45:00 PM,2566
8/2/2021,3:00:00 PM,2561
8/2/2021,3:15:00 PM,2511
8/2/2021,3:30:00 PM,2501
8/2/2021,3:45:00 PM,2471
8/2/2021,4:00:00 PM,2456
8/2/2021,4:15:00 PM,2461
8/2/2021,4:30:00 PM,2461
8/2/2021,4:45:00 PM,2446
8/2/2021,5:00:00 PM,2476
8/2/2021,5:15:00 PM,2471
8/2/2021,5:30:00 PM,2501
8/2/2021,5:45:00 PM,2511
8/2/2021,6:00:00 PM,2536
8/2/2021,6:15:00 PM,2541
8/2/2021,6:30:00 PM,2587
8/2/2021,6:45:00 PM,2617
8/2/2021,7:00:00 PM,2642
8/2/2021,7:15:00 PM,2652
8/2/2021,7:30:00 PM,2682
8/2/2021,7:45:00 PM,2717
8/2/2021,8:00:00 PM,2742
8/2/2021,8:15:00 PM,2732
8/2/2021,8:30:00 PM,2782
8/2/2021,8:45:00 PM,2797
8/2/2021,9:00:00 PM,2767
8/2/2021,9:15:00 PM,2812
8/2/2021,9:30:00 PM,2787
8/2/2021,9:45:00 PM,2802
8/2/2021,10:00:00 PM,2792
8/2/2021,10:15:00 PM,2767
8/2/2021,10:30:00 PM,2802
8/2/2021,10:45:00 PM,2772
8/2/2021,11:00:00 PM,2807
8/2/2021,11:15:00 PM,2782
8/2/2021,11:30:00 PM,2792
8/2/2021,11:45:00 PM,2792
8/3/2021,12:00:00 AM,2797
8/3/2021,12:15:00 AM,2797
8/3/2021,12:30:00 AM,2787
8/3/2021,12:45:00 AM,2782
8/3/2021,1:00:00 AM,2807
8/3/2021,1:15:00 AM,2802
8/3/2021,1:30:00 AM,2807
8/3/2021,1:45:00 AM,2802
8/3/2021,2:00:00 AM,2802
8/3/2021,2:15:00 AM,2792
8/3/2021,2:30:00 AM,2817
8/3/2021,2:45:00 AM,2772
8/3/2021,3:00:00 AM,2787
8/3/2021,3:15:00 AM,2757
8/3/2021,3:30:00 AM,2742
8/3/2021,3:45:00 AM,2722
8/3/2021,4:00:00 AM,2752
8/3/2021,4:15:00 AM,2732
8/3/2021,4:30:00 AM,2717
8/3/2021,4:45:00 AM,2692
8/3/2021,5:00:00 AM,2677
8/3/2021,5:15:00 AM,2667
8/3/2021,5:30:00 AM,2617
8/3/2021,5:45:00 AM,2602
8/3/2021,6:00:00 AM,2566
8/3/2021,6:15:00 AM,2587
8/3/2021,6:30:00 AM,2582
8/3/2021,6:45:00 AM,2577
8/3/2021,7:00:00 AM,2587
8/3/2021,7:15:00 AM,2577
8/3/2021,7:30:00 AM,2577
8/3/2021,7:45:00 AM,2582
8/3/2021,8:00:00 AM,2556
8/3/2021,8:15:00 AM,2551
8/3/2021,8:30:00 AM,2541
8/3/2021,8:45:00 AM,2531
8/3/2021,9:00:00 AM,2536
8/3/2021,9:15:00 AM,2511
8/3/2021,9:30:00 AM,2521
8/3/2021,9:45:00 AM,2546
8/3/2021,10:00:00 AM,2531
8/3/2021,10:15:00 AM,2546
8/3/2021,10:30:00 AM,2541
8/3/2021,10:45:00 AM,2556
8/3/2021,11:00:00 AM,2566
8/3/2021,11:15:00 AM,2582
8/3/2021,11:30:00 AM,2556
8/3/2021,11:45:00 AM,2531
8/3/2021,12:00:00 PM,2516
8/3/2021,12:15:00 PM,2511
8/3/2021,12:30:00 PM,2501
8/3/2021,12:45:00 PM,2511
8/3/2021,1:00:00 PM,2526
8/3/2021,1:15:00 PM,2521
